 x, y, z, yaw
70.9258, -205.3808, 0.6575, 0.0687
71.5130, -205.3403, 0.6706, 0.0687
72.1229, -205.2983, 0.6842, 0.0687
72.7275, -205.2566, 0.6976, 0.0687
73.3659, -205.2126, 0.7118, 0.0687
74.0627, -205.1646, 0.7272, 0.0687
74.7990, -205.1138, 0.7435, 0.0687
75.3616, -205.0750, 0.7560, 0.0687
76.1401, -205.0213, 0.7732, 0.0687
76.6575, -204.9856, 0.7847, 0.0687
77.2293, -204.9462, 0.7974, 0.0687
77.7864, -204.9078, 0.8097, 0.0687
78.3708, -204.8675, 0.8227, 0.0687
78.9854, -204.8251, 0.8364, 0.0687
79.5933, -204.7832, 0.8499, 0.0687
80.1728, -204.7432, 0.8629, 0.0687
80.7521, -204.7033, 0.8758, 0.0687
81.2909, -204.6661, 0.8879, 0.0687
81.9055, -204.6237, 0.9016, 0.0687
82.5263, -204.5810, 0.9154, 0.0687
83.1122, -204.5406, 0.9285, 0.0687
83.6351, -204.5045, 0.9402, 0.0687
84.2346, -204.4632, 0.9535, 0.0687
85.2353, -204.3942, 0.9758, 0.0687
85.7732, -204.3571, 0.9878, 0.0687
86.2912, -204.3214, 0.9994, 0.0687
87.1885, -204.2595, 1.0193, 0.0687
88.0911, -204.1973, 1.0394, 0.0687
88.9809, -204.1359, 1.0592, 0.0687
89.5239, -204.0985, 1.0713, 0.0687
90.3338, -204.0426, 1.0893, 0.0687
91.0645, -203.9923, 1.1056, 0.0687
91.7574, -203.9445, 1.1210, 0.0687
92.4223, -203.8987, 1.1358, 0.0687
92.9882, -203.8596, 1.1483, 0.0687
93.6225, -203.8159, 1.1624, 0.0687
94.1526, -203.7793, 1.1742, 0.0687
94.8088, -203.7341, 1.1887, 0.0687
95.5459, -203.6833, 1.2049, 0.0687
96.1790, -203.6396, 1.2191, 0.0687
96.8181, -203.5955, 1.2333, 0.0687
97.4075, -203.5549, 1.2465, 0.0687
98.0633, -203.5097, 1.2610, 0.0687
98.6709, -203.4678, 1.2746, 0.0687
99.2109, -203.4305, 1.2866, 0.0687
99.7851, -203.3909, 1.2993, 0.0687
100.3695, -203.3506, 1.3123, 0.0687
100.8760, -203.3157, 1.3236, 0.0687
101.4088, -203.2789, 1.3354, 0.0687
101.9251, -203.2433, 1.3469, 0.0687
102.4429, -203.2075, 1.3584, 0.0687
102.9422, -203.1730, 1.3695, 0.0687
103.5167, -203.1331, 1.3820, 0.0686
104.0407, -203.0970, 1.3936, 0.0686
104.6303, -203.0564, 1.4067, 0.0686
105.1896, -203.0179, 1.4192, 0.0686
105.8407, -202.9730, 1.4337, 0.0686
106.5476, -202.9243, 1.4497, 0.0686
